Date,SKU,Category,Origin_ID,Origin_City,Origin_Lat,Origin_Lon,Dest_City,Dest_Lat,Dest_Lon,Volume,Quantity,Shipping_Cost,Lead_Time,Transit_Days
2026-03-01,SKU-1001,Electronics,DC-ARK,Fayetteville,36.0822,-94.1719,Dallas,32.7767,-96.7970,150,1200,450.50,4,2
2026-03-02,SKU-1002,Apparel,DC-NOLA,New Orleans,29.9511,-90.0715,Atlanta,33.7490,-84.3880,85,450,280.00,5,3
2026-03-03,SKU-1003,Electronics,DC-ARK,Fayetteville,36.0822,-94.1719,Chicago,41.8781,-87.6298,210,1800,850.25,7,4
2026-03-04,SKU-1004,Home Goods,DC-LA,Los Angeles,34.0522,-118.2437,Dallas,32.7767,-96.7970,300,2500,1200.00,10,5
2026-03-05,SKU-1001,Electronics,DC-ARK,Fayetteville,36.0822,-94.1719,Atlanta,33.7490,-84.3880,180,1400,600.75,6,3
2026-03-06,SKU-1005,Apparel,DC-NOLA,New Orleans,29.9511,-90.0715,Chicago,41.8781,-87.6298,120,900,550.00,8,4
2026-03-07,SKU-1002,Apparel,DC-NOLA,New Orleans,29.9511,-90.0715,Dallas,32.7767,-96.7970,95,600,310.50,5,2
2026-03-08,SKU-1003,Electronics,DC-ARK,Fayetteville,36.0822,-94.1719,Los Angeles,34.0522,-118.2437,400,3200,1800.00,12,6
2026-03-09,SKU-1004,Home Goods,DC-LA,Los Angeles,34.0522,-118.2437,Chicago,41.8781,-87.6298,280,2100,1450.25,11,5
2026-03-10,SKU-1001,Electronics,DC-ARK,Fayetteville,36.0822,-94.1719,Dallas,32.7767,-96.7970,160,1350,480.00,4,2
2026-03-11,SKU-1005,Apparel,DC-NOLA,New Orleans,29.9511,-90.0715,Los Angeles,34.0522,-118.2437,150,1100,950.50,10,5
2026-03-12,SKU-1003,Electronics,DC-ARK,Fayetteville,36.0822,-94.1719,Atlanta,33.7490,-84.3880,190,1500,620.00,6,3
2026-03-13,SKU-1002,Apparel,DC-NOLA,New Orleans,29.9511,-90.0715,Dallas,32.7767,-96.7970,105,750,340.25,5,2
2026-03-14,SKU-1004,Home Goods,DC-LA,Los Angeles,34.0522,-118.2437,Atlanta,33.7490,-84.3880,310,2600,1600.00,12,6
2026-03-15,SKU-1001,Electronics,DC-ARK,Fayetteville,36.0822,-94.1719,Chicago,41.8781,-87.6298,220,1900,890.50,7,4
2026-03-16,SKU-1005,Apparel,DC-NOLA,New Orleans,29.9511,-90.0715,Atlanta,33.7490,-84.3880,110,800,410.00,6,3
2026-03-17,SKU-1003,Electronics,DC-ARK,Fayetteville,36.0822,-94.1719,Dallas,32.7767,-96.7970,170,1450,510.75,4,2